StateFIPS,CountyFIPS,M_With_Ins,M_Without_Ins,F_With_Ins,F_Without_Ins,All_With_Ins,All_Without_Ins
27,003,155823,11886,159251,9448,315074,21334
27,005,14446,1952,14841,1504,29287,3456
27,007,19419,3079,19771,2658,39190,5737
27,009,17465,1820,18070,1356,35535,3176
27,011,2288,174,2417,126,4705,300
27,013,30414,2115,30581,1479,60995,3594
27,015,11642,841,11987,579,23629,1420
27,017,16346,1305,15943,971,32289,2276
27,019,44942,2338,46391,1785,91333,4123
27,021,12836,1582,12842,1039,25678,2621
27,023,5383,518,5591,468,10974,986
27,025,24809,1884,24450,1341,49259,3225
27,027,27578,2300,29120,1387,56698,3687
27,029,3809,573,3785,488,7594,1061
27,031,2296,290,2368,196,4664,486
27,033,5179,423,5585,249,10764,672
27,035,28271,2773,29546,1754,57817,4527
27,037,186300,13285,195459,11601,381759,24886
27,039,9491,582,9571,500,19062,1082
27,041,16951,1242,17145,892,34096,2134
27,043,6459,557,6437,466,12896,1023
27,045,9245,1033,9430,806,18675,1839
27,047,13709,1357,14389,970,28098,2327
27,049,20893,1771,21272,1646,42165,3417
27,051,2788,185,2794,134,5582,319
27,053,531559,53042,563962,39808,1095521,92850
27,055,8778,546,8804,468,17582,1014
27,057,9250,975,9560,698,18810,1673
27,059,17605,1560,17777,1036,35382,2596
27,061,20410,2134,20142,1898,40552,4032
27,063,4773,334,4757,226,9530,560
27,065,7273,765,7292,542,14565,1307
27,067,19068,1997,19480,1287,38548,3284
27,069,2048,173,2015,123,4063,296
27,071,5810,670,5986,427,11796,1097
27,073,3298,203,3252,145,6550,348
27,075,5051,326,4860,344,9911,670
27,077,1792,222,1769,112,3561,334
27,079,13150,806,12839,735,25989,1541
27,081,2669,198,2607,169,5276,367
27,083,11652,1034,12152,562,23804,1596
27,085,16345,1426,16902,1057,33247,2483
27,087,2291,464,2243,460,4534,924
27,089,4370,405,4280,330,8650,735
27,091,9251,725,9456,690,18707,1415
27,093,10443,1102,10532,754,20975,1856
27,095,11568,1188,11699,896,23267,2084
27,097,15039,1432,15147,1013,30186,2445
27,099,17518,1895,18117,1318,35635,3213
27,101,3890,299,3905,322,7795,621
27,103,15555,844,15863,644,31418,1488
27,105,9434,1648,9187,1130,18621,2778
27,107,2979,343,3049,195,6028,538
27,109,66247,5093,71931,3469,138178,8562
27,111,26409,1967,26916,1504,53325,3471
27,113,6487,499,6681,240,13168,739
27,115,12590,1473,12495,1049,25085,2522
27,117,3966,479,4408,339,8374,818
27,119,14463,1226,14393,900,28856,2126
27,121,5121,385,5047,219,10168,604
27,123,228045,26230,249216,19701,477261,45931
27,125,1872,184,1914,68,3786,252
27,127,7054,757,7071,571,14125,1328
27,129,7016,563,6798,503,13814,1066
27,131,27682,2731,29574,2022,57256,4753
27,133,4210,337,4483,312,8693,649
27,135,7498,407,7133,385,14631,792
27,137,91466,7407,93151,5140,184617,12547
27,139,63816,4279,64480,3368,128296,7647
27,141,41926,2684,42301,1600,84227,4284
27,143,7125,445,6891,431,14016,876
27,145,70278,5627,71882,3644,142160,9271
27,147,16659,1065,17658,754,34317,1819
27,149,4668,219,4615,184,9283,403
27,151,4446,326,4412,204,8858,530
27,153,10868,1518,10527,1372,21395,2890
27,155,1586,79,1623,53,3209,132
27,157,10047,612,10101,434,20148,1046
27,159,6044,661,6338,424,12382,1085
27,161,8524,560,8332,512,16856,1072
27,163,112949,6485,119396,4682,232345,11167
27,165,4631,777,4882,629,9513,1406
27,167,3036,206,2959,173,5995,379
27,169,22371,2613,24235,1509,46606,4122
27,171,60440,3886,60402,3171,120842,7057
27,173,4645,462,4459,344,9104,806
29,001,10824,1177,11811,1435,22635,2612
29,003,7657,827,8051,579,15708,1406
29,005,2268,394,2392,287,4660,681
29,007,9791,1853,10925,1539,20716,3392
29,009,14276,3505,14770,2880,29046,6385
29,011,5177,780,5425,668,10602,1448
29,013,6891,1119,7239,1100,14130,2219
29,015,8015,1303,8169,1163,16184,2466
29,017,5313,833,5358,766,10671,1599
29,019,74337,7488,81131,6446,155468,13934
29,021,35906,6568,38780,5467,74686,12035
29,023,17314,3107,19400,2516,36714,5623
29,025,3960,481,4001,453,7961,934
29,027,18353,2151,19311,2318,37664,4469
29,029,17731,3647,18484,3655,36215,7302
29,031,33392,3674,35954,3535,69346,7209
29,033,3922,437,4094,549,8016,986
29,035,2380,608,2712,551,5092,1159
29,037,43701,5306,46476,4398,90177,9704
29,039,5604,1255,5514,1376,11118,2631
29,041,3427,307,3430,269,6857,576
29,043,33745,5297,36471,4930,70216,10227
29,045,2926,543,2883,497,5809,1040
29,047,99877,12035,105832,11096,205709,23131
29,049,8726,1260,8835,1212,17561,2472
29,051,31386,3738,34245,3179,65631,6917
29,053,6966,1006,7347,725,14313,1731
29,055,9853,2166,10515,1841,20368,4007
29,057,3152,649,3070,613,6222,1262
29,059,6336,1862,6412,1760,12748,3622
29,061,3130,916,3150,881,6280,1797
29,063,4219,527,4212,393,8431,920
29,065,6000,1568,6542,1327,12542,2895
29,067,5437,1236,5560,1160,10997,2396
29,069,12334,2629,13394,2534,25728,5163
29,071,44984,5261,45939,4878,90923,10139
29,073,6544,770,6742,619,13286,1389
29,075,2818,397,3044,362,5862,759
29,077,114052,21695,125498,18123,239550,39818
29,079,4033,812,4472,755,8505,1567
29,081,3585,681,3697,573,7282,1254
29,083,9081,1570,9737,1406,18818,2976
29,085,3643,917,3872,822,7515,1739
29,087,1970,278,1969,281,3939,559
29,089,4509,504,4607,435,9116,939
29,091,16754,2599,18027,2511,34781,5110
29,093,4038,863,4303,775,8341,1638
29,095,274189,51746,301575,46734,575764,98480
29,097,47538,9084,50298,9147,97836,18231
29,099,97569,11891,100070,10451,197639,22342
29,101,22043,2750,23188,2558,45231,5308
29,103,1561,424,1540,433,3101,857
29,105,14481,2881,14812,2946,29293,5827
29,107,14263,1786,14908,1447,29171,3233
29,109,15755,2885,16235,2782,31990,5667
29,111,4568,481,4372,548,8940,1029
29,113,23642,2898,23748,3079,47390,5977
29,115,5065,811,5529,919,10594,1730
29,117,5604,965,6401,794,12005,1759
29,119,8953,2573,8596,2482,17549,5055
29,121,6564,896,6670,1058,13234,1954
29,123,4999,953,5528,752,10527,1705
29,125,3874,585,3844,630,7718,1215
29,127,11569,1990,12609,1996,24178,3986
29,129,1438,395,1507,322,2945,717
29,131,10355,1786,10929,1608,21284,3394
29,133,4754,1288,5250,1214,10004,2502
29,135,5859,1191,6205,1222,12064,2413
29,137,3677,648,3682,566,7359,1214
29,139,4996,786,5140,676,10136,1462
29,141,7732,2303,7555,2318,15287,4621
29,143,7092,1596,7626,1728,14718,3324
29,145,24386,4432,24757,4545,49143,8977
29,147,9723,1143,10229,1189,19952,2332
29,149,4449,885,4581,930,9030,1815
29,151,6519,641,6123,336,12642,977
29,153,3965,858,3938,719,7903,1577
29,155,6879,1462,7736,1580,14615,3042
29,157,8633,751,8765,658,17398,1409
29,159,16923,3233,18256,3036,35179,6269
29,161,20113,2833,18995,2189,39108,5022
29,163,6882,1238,7243,908,14125,2146
29,165,41729,3706,43224,3804,84953,7510
29,167,13045,1922,13745,1993,26790,3915
29,169,16880,2934,17970,2288,34850,5222
29,171,2057,382,2040,363,4097,745
29,173,4421,700,4473,595,8894,1295
29,175,9737,1641,10388,1432,20125,3073
29,177,10234,1135,10395,986,20629,2121
29,179,2900,383,2725,436,5625,819
29,181,5641,1250,5926,1100,11567,2350
29,183,170019,13371,177309,12345,347328,25716
29,185,3806,881,3809,792,7615,1673
29,186,8552,418,8046,767,16598,1185
29,187,24374,4136,26292,3638,50666,7774
29,189,423435,45306,477858,42847,901293,88153
29,195,10359,1083,10451,987,20810,2070
29,197,1662,454,1855,372,3517,826
29,199,1613,778,1806,581,3419,1359
29,201,16351,2471,17253,2522,33604,4993
29,203,3358,716,3501,678,6859,1394
29,205,2474,497,2554,447,5028,944
29,207,12035,2363,12921,2117,24956,4480
29,209,12806,2449,13343,2523,26149,4972
29,211,2783,488,2689,495,5472,983
29,213,20078,5674,21802,5549,41880,11223
29,215,9999,1996,10373,1902,20372,3898
29,217,7993,1875,8945,1590,16938,3465
29,219,14369,2102,14662,1732,29031,3834
29,221,10110,1857,10145,1849,20255,3706
29,223,5477,1115,5609,1054,11086,2169
29,225,14141,3790,14511,3378,28652,7168
29,227,859,147,906,110,1765,257
29,229,7116,1859,7620,1657,14736,3516
29,510,122966,27480,138200,24440,261166,51920
28,001,10865,3146,13122,2483,23987,5629
28,003,14442,3433,16119,2794,30561,6227
28,005,5265,1026,5465,971,10730,1997
28,007,7498,1341,8869,1160,16367,2501
28,009,3398,676,3619,696,7017,1372
28,011,11911,3314,15085,2666,26996,5980
28,013,5841,1212,6498,1086,12339,2298
28,015,4276,770,4524,580,8800,1350
28,017,6650,1511,7634,1291,14284,2802
28,019,3352,659,3784,459,7136,1118
28,021,3398,910,4110,858,7508,1768
28,023,6669,1016,7430,1191,14099,2207
28,025,7804,1453,9273,1464,17077,2917
28,027,9445,2065,11366,2085,20811,4150
28,029,10959,2943,12458,2411,23417,5354
28,031,7549,1596,8578,1499,16127,3095
28,033,70131,11179,75876,10577,146007,21756
28,035,28939,6894,33998,5750,62937,12644
28,037,3170,621,3314,672,6484,1293
28,039,9247,1973,9214,2200,18461,4173
28,041,4221,945,4659,995,8880,1940
28,043,8671,1336,9911,1348,18582,2684
28,045,17172,5111,18887,4307,36059,9418
28,047,72667,18692,79448,17720,152115,36412
28,049,92795,20840,110849,18840,203644,39680
28,051,7016,1885,8096,1636,15112,3521
28,053,3399,831,3738,929,7137,1760
28,055,452,122,392,54,844,176
28,057,9983,1592,10393,1248,20376,2840
28,059,56066,12275,59214,11759,115280,24034
28,061,6799,1160,7498,1015,14297,2175
28,063,2776,509,3353,521,6129,1030
28,065,4525,1117,4954,1234,9479,2351
28,067,28118,4544,29379,5481,57497,10025
28,069,3883,763,4280,741,8163,1504
28,071,21278,3156,23650,2499,44928,5655
28,073,23481,4500,25482,4475,48963,8975
28,075,30735,5094,34787,5848,65522,10942
28,077,5157,1011,5309,1096,10466,2107
28,079,8559,2216,9134,2293,17693,4509
28,081,34316,5627,38624,5447,72940,11074
28,083,11343,3248,13590,2675,24933,5923
28,085,13904,2489,14956,2823,28860,5312
28,087,22830,4314,25998,4761,48828,9075
28,089,42518,4619,47943,3948,90461,8567
28,091,10094,2173,10761,2325,20855,4498
28,093,13625,3139,15270,3070,28895,6209
28,095,14672,2389,16099,2600,30771,4989
28,097,4323,547,4879,598,9202,1145
28,099,11396,2592,12623,2524,24019,5116
28,101,8499,1583,9843,1548,18342,3131
28,103,4081,1140,4761,964,8842,2104
28,105,21214,3109,21499,2799,42713,5908
28,107,13551,2876,15501,2246,29052,5122
28,109,21467,5306,22456,5103,43923,10409
28,111,4383,1495,5138,1067,9521,2562
28,113,15503,3132,17909,2925,33412,6057
28,115,11979,3300,12552,2433,24531,5733
28,117,10214,2063,11030,1784,21244,3847
28,119,2771,848,3192,776,5963,1624
28,121,58718,8313,66576,7485,125294,15798
28,123,10538,2999,11649,2843,22187,5842
28,125,1542,565,2224,376,3766,941
28,127,10553,2396,11369,2450,21922,4846
28,129,6684,1116,7253,1117,13937,2233
28,131,7048,1645,7318,1406,14366,3051
28,133,8412,2549,10925,2264,19337,4813
28,135,3552,962,5273,726,8825,1688
28,137,11062,2487,12572,1817,23634,4304
28,139,9246,1568,9666,1471,18912,3039
28,141,7612,1654,8535,1478,16147,3132
28,143,3816,1036,4686,817,8502,1853
28,145,10912,2427,11947,2257,22859,4684
28,147,6014,1282,5852,1690,11866,2972
28,149,18641,3958,21323,3671,39964,7629
28,151,18157,4827,20778,5284,38935,10111
28,153,8352,1605,8995,1494,17347,3099
28,155,3951,922,4467,573,8418,1495
28,157,3268,709,3551,812,6819,1521
28,159,7620,1061,8191,1373,15811,2434
28,161,5011,965,5613,608,10624,1573
28,163,9419,2631,10493,1724,19912,4355
30,001,4070,562,4035,490,8105,1052
30,003,3687,2775,4007,2551,7694,5326
30,005,2153,1076,2308,971,4461,2047
30,007,2445,434,2431,332,4876,766
30,009,4396,704,4453,647,8849,1351
30,011,497,116,459,134,956,250
30,013,32558,5433,35087,5132,67645,10565
30,015,2242,661,2344,563,4586,1224
30,017,5149,672,5260,625,10409,1297
30,019,844,42,758,80,1602,122
30,021,4065,605,3919,437,7984,1042
30,023,3834,745,3656,487,7490,1232
30,025,1353,196,1304,167,2657,363
30,027,4763,888,4876,721,9639,1609
30,029,38210,8056,39283,7180,77493,15236
30,031,42674,6272,41109,4917,83783,11189
30,033,405,93,441,108,846,201
30,035,4047,2542,4625,2325,8672,4867
30,037,322,42,299,93,621,135
30,039,1395,221,1301,225,2696,446
30,041,7002,1317,6551,1519,13553,2836
30,043,5373,511,4850,599,10223,1110
30,045,932,109,775,181,1707,290
30,047,10614,3612,11416,3344,22030,6956
30,049,28620,3455,29722,2920,58342,6375
30,051,987,169,1036,155,2023,324
30,053,7780,1879,7663,1845,15443,3724
30,055,835,84,748,39,1583,123
30,057,3376,685,3131,515,6507,1200
30,059,737,150,826,160,1563,310
30,061,1591,509,1767,319,3358,828
30,063,46957,8965,48368,7019,95325,15984
30,065,2075,297,2021,363,4096,660
30,067,6335,1508,6846,929,13181,2437
30,069,169,63,147,64,316,127
30,071,1612,466,1678,371,3290,837
30,073,2449,589,2625,471,5074,1060
30,075,709,118,696,147,1405,265
30,077,2370,414,2215,372,4585,786
30,079,608,118,571,56,1179,174
30,081,16273,3831,17080,3386,33353,7217
30,083,4632,1067,4405,1028,9037,2095
30,085,3768,1672,4041,1373,7809,3045
30,087,3493,1025,3560,1191,7053,2216
30,089,4653,1092,4124,1341,8777,2433
30,091,1621,193,1650,112,3271,305
30,093,14473,2808,14162,2516,28635,5324
30,095,4172,507,4038,512,8210,1019
30,097,1534,226,1665,177,3199,403
30,099,2544,442,2580,439,5124,881
30,101,1838,518,1732,454,3570,972
30,103,388,44,347,33,735,77
30,105,3234,523,3301,409,6535,932
30,107,885,184,868,145,1753,329
30,109,403,73,410,76,813,149
30,111,63566,10886,66659,10258,130225,21144
37,001,61793,11848,68721,11831,130514,23679
37,003,15713,2301,16031,1981,31744,4282
37,005,4369,1002,4481,931,8850,1933
37,007,9707,2339,10387,1918,20094,4257
37,009,10685,2605,11580,1983,22265,4588
37,011,6224,1573,6565,1376,12789,2949
37,013,19022,3482,21646,3048,40668,6530
37,015,7722,1578,8666,1315,16388,2893
37,017,13489,2722,15516,2571,29005,5293
37,019,46541,9270,51200,7963,97741,17233
37,021,97521,19497,109819,16677,207340,36174
37,023,35628,7025,38742,5727,74370,12752
37,025,78787,12302,84177,11749,162964,24051
37,027,32631,6954,35162,6149,67793,13103
37,029,4459,488,4608,432,9067,920
37,031,26963,5127,29397,4961,56360,10088
37,033,9255,1611,9896,1485,19151,3096
37,035,63444,11588,68560,9556,132004,21144
37,037,27262,5354,30028,4042,57290,9396
37,039,10488,2637,11249,2436,21737,5073
37,041,5740,1163,6529,956,12269,2119
37,043,4078,994,4521,1002,8599,1996
37,045,38871,7516,43812,6666,82683,14182
37,047,20690,5109,24204,4529,44894,9638
37,049,38039,7825,44473,6620,82512,14445
37,051,115293,19292,143351,18868,258644,38160
37,053,9858,2142,10360,1831,20218,3973
37,055,13604,3436,14946,2720,28550,6156
37,057,67953,11300,72487,10369,140440,21669
37,059,17033,2985,18774,2265,35807,5250
37,061,21885,6997,24085,5858,45970,12855
37,063,110556,23537,130140,19125,240696,42662
37,065,20437,4951,24507,4335,44944,9286
37,067,142855,27087,164825,23837,307680,50924
37,069,25114,5007,26451,4666,51565,9673
37,071,83675,16824,91558,15628,175233,32452
37,073,5023,707,5360,536,10383,1243
37,075,3237,970,3518,861,6755,1831
37,077,22929,3950,25312,2850,48241,6800
37,079,7809,1790,8255,1427,16064,3217
37,081,200451,37996,230196,34220,430647,72216
37,083,20409,4057,24473,3054,44882,7111
37,085,47081,8855,53827,8332,100908,17187
37,087,23777,4670,26178,4045,49955,8715
37,089,43911,8840,48683,7206,92594,16046
37,091,8458,1524,10779,1411,19237,2935
37,093,18294,3161,21943,3481,40237,6642
37,095,1997,458,2152,420,4149,878
37,097,69972,10617,72976,10314,142948,20931
37,099,16388,3487,17794,2816,34182,6303
37,101,72358,14182,77916,12270,150274,26452
37,103,3862,1023,4482,696,8344,1719
37,105,22501,5700,24947,5037,47448,10737
37,107,21830,5509,26143,4306,47973,9815
37,109,33425,5657,34528,5400,67953,11057
37,111,18526,3360,19508,2625,38034,5985
37,113,13028,3366,14225,3072,27253,6438
37,115,8835,1533,9401,1025,18236,2558
37,117,9207,1912,10402,2070,19609,3982
37,119,394554,79148,440912,70014,835466,149162
37,121,6327,1139,6653,1084,12980,2223
37,123,10297,2606,11294,2567,21591,5173
37,125,37266,5229,41237,5632,78503,10861
37,127,37616,6774,41977,6855,79593,13629
37,129,84864,16254,96287,13171,181151,29425
37,131,7822,1734,9211,1484,17033,3218
37,133,60931,9861,73645,8594,134576,18455
37,135,58773,6925,66098,6134,124871,13059
37,137,5137,963,5386,863,10523,1826
37,139,15561,2888,17386,2810,32947,5698
37,141,21808,4329,23069,4293,44877,8622
37,143,5224,1107,5893,1157,11117,2264
37,145,15990,2909,17796,2138,33786,5047
37,147,69019,12197,79254,12067,148273,24264
37,149,8521,1162,8990,1384,17511,2546
37,151,57242,12444,60274,11241,117516,23685
37,153,17202,4131,19468,3935,36670,8066
37,155,49747,13868,56491,12539,106238,26407
37,157,38006,6007,41536,5754,79542,11761
37,159,55135,11191,60050,9456,115185,20647
37,161,26825,5113,29291,4740,56116,9853
37,163,24731,6401,26787,5332,51518,11733
37,165,13319,2850,15365,2603,28684,5453
37,167,25359,3955,25850,4026,51209,7981
37,169,19445,3237,20499,3040,39944,6277
37,171,29052,6524,31220,5627,60272,12151
37,173,5139,1619,5775,1441,10914,3060
37,175,12650,3093,13899,2805,26549,5898
37,177,1415,413,1396,343,2811,756
37,179,91176,13811,95909,11579,187085,25390
37,181,16836,3892,20309,3338,37145,7230
37,183,410336,59667,444583,52804,854919,112471
37,185,7584,1876,8704,1288,16288,3164
37,187,5022,764,5787,957,10809,1721
37,189,23127,2754,23493,2583,46620,5337
37,191,48265,9082,53636,8801,101901,17883
37,193,27936,5578,30011,4561,57947,10139
37,195,30989,7122,35996,6337,66985,13459
37,197,15503,3106,16609,2487,32112,5593
37,199,6997,1488,7526,1415,14523,2903
38,001,1062,115,1028,86,2090,201
38,003,4956,505,5111,332,10067,837
38,005,2752,732,2757,538,5509,1270
38,007,506,76,349,38,855,114
38,009,3109,328,2722,306,5831,634
38,011,1461,91,1505,99,2966,190
38,013,1040,168,869,130,1909,298
38,015,39076,3389,41128,2750,80204,6139
38,017,73605,7721,74144,5868,147749,13589
38,019,1834,94,1812,54,3646,148
38,021,2339,243,2279,188,4618,431
38,023,1048,109,1000,100,2048,209
38,025,1790,412,1626,315,3416,727
38,027,992,102,1137,65,2129,167
38,029,1597,129,1536,146,3133,275
38,031,1528,127,1542,103,3070,230
38,033,692,148,833,94,1525,242
38,035,31352,2691,30830,2197,62182,4888
38,037,1021,126,1066,110,2087,236
38,039,1047,98,1002,91,2049,189
38,041,1145,96,1135,83,2280,179
38,043,1144,135,1080,71,2224,206
38,045,1920,195,1838,91,3758,286
38,047,867,46,916,41,1783,87
38,049,2706,302,2545,185,5251,487
38,051,1236,58,1312,41,2548,99
38,053,3968,1083,3710,788,7678,1871
38,055,4285,392,4129,455,8414,847
38,057,4014,424,3668,415,7682,839
38,059,13459,1052,13184,743,26643,1795
38,061,4094,916,3434,711,7528,1627
38,063,1391,146,1300,129,2691,275
38,065,834,110,795,80,1629,190
38,067,3282,335,3222,203,6504,538
38,069,1806,305,1965,128,3771,433
38,071,4968,632,4974,491,9942,1123
38,073,2547,172,2450,132,4997,304
38,075,1192,65,1158,66,2350,131
38,077,7869,465,7377,436,15246,901
38,079,4522,2528,5293,2031,9815,4559
38,081,1933,97,1740,67,3673,164
38,083,618,50,626,43,1244,93
38,085,1431,752,1664,486,3095,1238
38,087,341,35,279,18,620,53
38,089,13171,1442,12384,1177,25555,2619
38,091,979,55,872,73,1851,128
38,093,9124,970,9324,745,18448,1715
38,095,1021,92,1061,85,2082,177
38,097,3777,223,3741,156,7518,379
38,099,4913,667,4880,367,9793,1034
38,101,28609,3115,29757,2358,58366,5473
38,103,1929,180,1857,153,3786,333
38,105,14385,1497,11912,1468,26297,2965
31,001,13894,1771,14127,1366,28021,3137
31,003,2880,305,2920,284,5800,589
31,005,194,29,200,25,394,54
31,007,355,44,365,56,720,100
31,009,214,79,207,51,421,130
31,011,2453,181,2430,211,4883,392
31,013,5247,428,4956,515,10203,943
31,015,894,132,883,103,1777,235
31,017,1283,172,1322,257,2605,429
31,019,21439,2104,22245,1568,43684,3672
31,021,2967,283,2957,338,5924,621
31,023,3741,371,3701,272,7442,643
31,025,11685,773,11691,780,23376,1553
31,027,4089,267,3947,224,8036,491
31,029,1627,243,1704,256,3331,499
31,031,2495,209,2679,328,5174,537
31,033,4538,380,4707,353,9245,733
31,035,2836,362,2704,376,5540,738
31,037,4633,786,4333,680,8966,1466
31,039,4041,437,4058,391,8099,828
31,041,4558,716,4818,587,9376,1303
31,043,8405,1570,8872,1735,17277,3305
31,045,3715,645,3960,741,7675,1386
31,047,10328,1645,10323,1499,20651,3144
31,049,824,147,827,127,1651,274
31,051,2521,356,2582,322,5103,678
31,053,15521,2220,16362,2033,31883,4253
31,055,228496,32282,242959,27736,471455,60018
31,057,873,162,821,121,1694,283
31,059,2426,307,2483,249,4909,556
31,061,1415,124,1370,134,2785,258
31,063,1170,127,1120,147,2290,274
31,065,2110,248,2178,269,4288,517
31,067,9878,830,10192,633,20070,1463
31,069,747,136,779,120,1526,256
31,071,836,100,877,85,1713,185
31,073,848,93,915,82,1763,175
31,075,335,57,338,39,673,96
31,077,1122,103,1098,120,2220,223
31,079,25029,4904,25624,4458,50653,9362
31,081,4189,305,4244,219,8433,524
31,083,1610,185,1423,187,3033,372
31,085,475,117,406,86,881,203
31,087,1261,194,1179,211,2440,405
31,089,4599,482,4691,461,9290,943
31,091,286,32,310,26,596,58
31,093,2996,238,2953,140,5949,378
31,095,3352,253,3390,325,6742,578
31,097,1770,187,1845,212,3615,399
31,099,2928,277,2976,285,5904,562
31,101,3516,521,3500,547,7016,1068
31,103,342,26,319,24,661,50
31,105,1535,289,1542,296,3077,585
31,107,3614,462,3751,498,7365,960
31,109,129832,16174,135393,12304,265225,28478
31,111,15665,1904,15915,2019,31580,3923
31,113,360,51,406,33,766,84
31,115,246,26,257,19,503,45
31,117,219,4,206,4,425,8
31,119,15094,2026,15516,1830,30610,3856
31,121,3455,310,3494,402,6949,712
31,123,2065,358,2051,248,4116,606
31,125,1553,218,1588,183,3141,401
31,127,3100,292,3377,281,6477,573
31,129,1886,260,1979,184,3865,444
31,131,6900,821,7198,634,14098,1455
31,133,1107,261,1173,144,2280,405
31,135,1318,114,1322,129,2640,243
31,137,4142,364,4120,359,8262,723
31,139,3276,287,3320,167,6596,454
31,141,14472,1958,14421,1492,28893,3450
31,143,2359,222,2388,187,4747,409
31,145,4618,689,4948,430,9566,1119
31,147,3711,319,3732,284,7443,603
31,149,582,89,567,127,1149,216
31,151,6427,857,6226,541,12653,1398
31,153,75886,5603,78430,5281,154316,10884
31,155,9715,720,9515,664,19230,1384
31,157,14776,2704,16164,2443,30940,5147
31,159,8006,588,7718,420,15724,1008
31,161,2185,372,2285,353,4470,725
31,163,1379,133,1430,107,2809,240
31,165,574,77,549,49,1123,126
31,167,2751,281,2725,310,5476,591
31,169,2339,159,2405,125,4744,284
31,171,315,41,297,22,612,63
31,173,2351,1050,2548,941,4899,1991
31,175,1869,232,1919,190,3788,422
31,177,9329,588,9285,867,18614,1455
31,179,4472,365,4203,345,8675,710
31,181,1593,163,1667,187,3260,350
31,183,399,33,375,40,774,73
31,185,6087,621,6010,538,12097,1159
33,001,25364,3734,27430,3127,52794,6861
33,003,19928,3653,20392,3124,40320,6777
33,005,32472,4282,35847,3084,68319,7366
33,007,13183,1853,13622,1713,26805,3566
33,009,38402,5228,40032,4836,78434,10064
33,011,178942,19692,185709,15685,364651,35377
33,013,63596,6756,68239,5583,131835,12339
33,015,134871,11591,140369,10100,275240,21691
33,017,53304,6948,57377,6285,110681,13233
33,019,18333,2630,19593,2148,37926,4778
34,001,112340,19078,124944,16097,237284,35175
34,003,391824,53563,426933,48157,818757,101720
34,005,192963,16726,213627,12770,406590,29496
34,007,212875,31229,239130,23082,452005,54311
34,009,40486,4651,44888,3602,85374,8253
34,011,59423,10828,66601,8609,126024,19437
34,013,303430,68533,350254,57907,653684,126440
34,015,128535,11903,138803,9679,267338,21582
34,017,258423,69020,272486,59125,530909,128145
34,019,56714,3170,60109,2305,116823,5475
34,021,154154,21815,171281,15938,325435,37753
34,023,350206,51055,376132,43310,726338,94365
34,025,273118,31154,295155,25547,568273,56701
34,027,222190,19830,235146,17038,457336,36868
34,029,251605,26431,277128,22954,528733,49385
34,031,199460,45684,221524,37168,420984,82852
34,033,27515,3442,30248,2723,57763,6165
34,035,145888,13951,155658,12324,301546,26275
34,037,65217,6547,67862,4954,133079,11501
34,039,220599,44217,241572,37837,462171,82054
34,041,46651,4979,50057,4518,96708,9497
35,001,272940,52028,296915,44601,569855,96629
35,003,1528,367,1451,228,2979,595
35,005,26078,5891,27592,5260,53670,11151
35,006,9819,2968,10636,2213,20455,5181
35,007,5246,879,5714,702,10960,1581
35,009,19743,4372,20736,3137,40479,7509
35,011,751,141,1002,101,1753,242
35,013,83656,18726,90314,17907,173970,36633
35,015,23842,4068,23388,3791,47230,7859
35,017,12900,1315,13334,1189,26234,2504
35,019,1815,209,1748,150,3563,359
35,021,274,17,246,27,520,44
35,023,1879,352,1862,430,3741,782
35,025,27173,6335,26439,6606,53612,12941
35,027,8397,1373,8737,1283,17134,2656
35,028,8611,523,8183,510,16794,1033
35,029,9539,2561,10103,2219,19642,4780
35,031,23399,12014,26997,11227,50396,23241
35,033,1699,527,2067,367,3766,894
35,035,24419,4996,26535,4567,50954,9563
35,037,3576,613,4109,365,7685,978
35,039,15072,4355,16670,3586,31742,7941
35,041,7984,1736,8234,1470,16218,3206
35,043,57383,9182,61538,7749,118921,16931
35,045,46708,14508,50124,12443,96832,26951
35,047,11235,2535,11977,2358,23212,4893
35,049,56164,13908,63236,11977,119400,25885
35,051,4718,973,5002,681,9720,1654
35,053,7482,1584,7246,1080,14728,2664
35,055,13285,2640,14135,2679,27420,5319
35,057,5959,1566,6662,909,12621,2475
35,059,1427,400,1549,346,2976,746
35,061,30560,6254,33613,4273,64173,10527
32,001,9756,1871,9845,1873,19601,3744
32,003,799278,201993,830625,180211,1629903,382204
32,005,19911,3602,20431,2952,40342,6554
32,007,22496,3962,20493,3991,42989,7953
32,009,387,128,475,146,862,274
32,011,652,140,732,140,1384,280
32,013,7339,1429,6497,1574,13836,3003
32,015,2775,447,2096,590,4871,1037
32,017,2095,415,1919,390,4014,805
32,019,21106,4645,21605,3982,42711,8627
32,021,1926,446,1816,296,3742,742
32,023,17457,3427,17963,3405,35420,6832
32,027,1995,525,1846,413,3841,938
32,029,1493,376,1826,210,3319,586
32,031,176960,39625,183055,32403,360015,72028
32,033,3873,526,3532,731,7405,1257
32,510,21461,4907,22411,3802,43872,8709
36,001,136092,11096,149544,7079,285636,18175
36,003,21718,2411,21566,1902,43284,4313
36,005,546151,112171,667792,79977,1213943,192148
36,007,87879,8190,93618,5438,181497,13628
36,009,34324,4389,35911,3604,70235,7993
36,011,34015,3875,35593,2514,69608,6389
36,013,58267,5797,61793,4155,120060,9952
36,015,37175,2867,41183,2753,78358,5620
36,017,21882,2543,22703,1852,44585,4395
